Observation id,Comment,Start time,Stop time,Duration (s)
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,19.898,20.146,0.248
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,147.273,149.772,2.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,150.523,151.772,1.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,163.792,164.539,0.747
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,171.04,172.788,1.748
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,203.578,204.066,0.488
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,218.6,219.099,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,219.601,220.35,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,234.609,240.108,5.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,241.359,242.862,1.503
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,244.859,245.358,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,254.634,255.133,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,257.383,260.133,2.750
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,261.135,263.134,1.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,270.144,272.133,1.989
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,272.634,274.634,2.000
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,275.884,279.133,3.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,280.384,281.882,1.498
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,284.138,286.582,2.444
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,286.907,288.64,1.733
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,289.143,290.64,1.497
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,291.391,292.895,1.504
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,293.142,294.14,0.998
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,295.892,299.144,3.252
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,299.395,300.89,1.495
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,302.143,303.39,1.247
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,307.642,309.89,2.248
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,310.391,312.392,2.001
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,312.642,313.64,0.998
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,315.391,316.89,1.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,321.141,321.641,0.500
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,322.659,324.658,1.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,326.408,329.907,3.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,330.659,333.658,2.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,335.159,337.658,2.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,338.408,339.158,0.750
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,357.192,359.182,1.990
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,359.932,362.682,2.750
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,363.433,364.931,1.498
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,366.683,368.438,1.755
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,370.183,372.682,2.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,375.683,376.931,1.248
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,378.683,379.931,1.248
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,380.966,381.217,0.251
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,382.217,383.216,0.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,414.49,417.236,2.746
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,417.486,417.746,0.260
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,417.988,420.985,2.997
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,421.737,422.485,0.748
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,423.237,424.485,1.248
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,425.239,426.985,1.746
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,427.986,427.987,0.001
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,429.486,429.989,0.503
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,430.237,433.485,3.248
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,436.737,437.736,0.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,437.986,439.524,1.538
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,439.775,446.775,7.000
