Observation id,G.Env,Number_of_occurences,Total_Duration_(s)
025 - FVM - 2 crows - Baited,Green Area,5,83.445
026 - FVM - 2 crows - Baited,Green Area,4,112.468
027 - FVM - 2 crows - Baited,Green Area,1,140.19
028 - FVM - 2 crows - Baited,Green Area,1,71.573
029 - FVM - 2 crows - Baited,Green Area,3,347.483
031 - FVM - 2 crows - Baited,Green Area,2,157.903
032  - Ontario St. Tim Hortons - 4 crows - No Bait,Commercial,3,614.715
035 - Charles Ansell Park - 3 crows - No Bait,Green Area,25,72.682
036 - FVM - 2 crows - Baited,Green Area,5,462.031
040 - Dairy Queen PLot - 3 crows - Baited,Green Area,7,238.262
041 - FVM - 7 crows - Baited,Green Area,9,1108.217
042 - CIBC PLot - 2 crows - Baited,Commercial,15,260.391
043 - Ontario Bodyshop PLot - 2 crows - Baited,Commercial,48,40.281
043-2 - Esso PLot - 25 crows - Baited,Commercial,4,103.777
045 - Ontario Esso - 5 crows - Baited,Commercial,34,48.262
020 - FVM - 2 crows - No Bait,Green Area,0,107.493
024 - FVM - 2 crows - No Bait,Green Area,0,170.725
030 - FVM - 2 crows - Baited,Green Area,0,123.993
039 - Glen Morris Dr - 2 crows - Baited,Green Area,0,309.557
038-2 - Dairy Queen Plot - 7 crows - Baited,Commercial,0,920.247
038 - Landcaster Park - 3 crows - No Bait,Green Area,0,191.743
037-2 - Dairy Queen Plot - 7 crows - Baited,Commercial,0,859.171
037 - Landcaster Park - 4 crows - No Bait,Green Area,0,166.451
034 - NF Subways Plot - 1 crow - Baited,Commercial,0,91.58
033 - NF Subways Plot - 2 crows - Baited,Commercial,0,455.324
